sample_id,scenario,mechanism,metric,value
CreditCycle__Rag,CreditCycle,Rag,counter_cyclical_offset_ratio,0.0
CreditCycle__Rag,CreditCycle,Rag,credit_contraction_speed,1.8997
CreditCycle__Rag,CreditCycle,Rag,leverage_amplitude_index,2716.747
CreditCycle__Rag,CreditCycle,Rag,max_drawdown_pct,76.0849
CreditCycle__Rag,CreditCycle,Rag,minsky_fragility_score,0.0
CreditCycle__Rag,CreditCycle,Rag,peak_deviation_pct,351.92
CreditCycle__Rag,CreditCycle,Rag,peak_rolling_vol_pct,13.113
CreditCycle__Rag,CreditCycle,Rag,phase_duration_ratio,inf
CreditCycle__Rag,CreditCycle,Rag,return_autocorr_lag1,0.8058
CreditCycle__Rag,CreditCycle,Rag,trough_deviation_pct,-0.1295
CurrencyCrisis__Rule,CurrencyCrisis,Rule,attack_intensity_index,0.0019
CurrencyCrisis__Rule,CurrencyCrisis,Rule,defense_exhaustion_rate,0.0
CurrencyCrisis__Rule,CurrencyCrisis,Rule,fundamental_anchor_strength,0.0
CurrencyCrisis__Rule,CurrencyCrisis,Rule,max_drawdown_pct,60.4406
CurrencyCrisis__Rule,CurrencyCrisis,Rule,peak_rolling_vol_pct,6.5754
CurrencyCrisis__Rule,CurrencyCrisis,Rule,peg_survival_duration,200
CurrencyCrisis__Rule,CurrencyCrisis,Rule,recovery_speed_rounds,0
CurrencyCrisis__Rule,CurrencyCrisis,Rule,return_autocorr_lag1,0.6409
CurrencyCrisis__Rule,CurrencyCrisis,Rule,self_fulfilling_amplification_factor,0.0
CurrencyCrisis__LLM,CurrencyCrisis,LLM,attack_intensity_index,0.9999
CurrencyCrisis__LLM,CurrencyCrisis,LLM,defense_exhaustion_rate,0.0
CurrencyCrisis__LLM,CurrencyCrisis,LLM,fundamental_anchor_strength,0.0
CurrencyCrisis__LLM,CurrencyCrisis,LLM,max_drawdown_pct,100.0
CurrencyCrisis__LLM,CurrencyCrisis,LLM,peak_rolling_vol_pct,1.319555292467144e+88
CurrencyCrisis__LLM,CurrencyCrisis,LLM,peg_survival_duration,2
CurrencyCrisis__LLM,CurrencyCrisis,LLM,recovery_speed_rounds,178
CurrencyCrisis__LLM,CurrencyCrisis,LLM,return_autocorr_lag1,-0.0092
CurrencyCrisis__LLM,CurrencyCrisis,LLM,self_fulfilling_amplification_factor,0.0
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,attack_intensity_index,0.0002
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,defense_exhaustion_rate,0.0
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,fundamental_anchor_strength,0.0
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,max_drawdown_pct,58.4543
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,peak_rolling_vol_pct,8.2282
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,peg_survival_duration,200
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,recovery_speed_rounds,0
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,return_autocorr_lag1,0.2652
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,self_fulfilling_amplification_factor,0.0
CurrencyCrisis__Rag,CurrencyCrisis,Rag,attack_intensity_index,0.9999
CurrencyCrisis__Rag,CurrencyCrisis,Rag,defense_exhaustion_rate,0.0
CurrencyCrisis__Rag,CurrencyCrisis,Rag,fundamental_anchor_strength,0.0
CurrencyCrisis__Rag,CurrencyCrisis,Rag,max_drawdown_pct,99.9944
CurrencyCrisis__Rag,CurrencyCrisis,Rag,peak_rolling_vol_pct,11239.4095
CurrencyCrisis__Rag,CurrencyCrisis,Rag,peg_survival_duration,1
CurrencyCrisis__Rag,CurrencyCrisis,Rag,recovery_speed_rounds,9
CurrencyCrisis__Rag,CurrencyCrisis,Rag,return_autocorr_lag1,0.0009
CurrencyCrisis__Rag,CurrencyCrisis,Rag,self_fulfilling_amplification_factor,0.0
DispositionEffect__Rule,DispositionEffect,Rule,max_drawdown,-74.1228
DispositionEffect__Rule,DispositionEffect,Rule,peak_round,1
DispositionEffect__Rule,DispositionEffect,Rule,trough_round,7
DispositionEffect__LLM,DispositionEffect,LLM,max_drawdown,-100.0
DispositionEffect__LLM,DispositionEffect,LLM,peak_round,132
DispositionEffect__LLM,DispositionEffect,LLM,trough_round,133
DispositionEffect__RuleLLM,DispositionEffect,RuleLLM,max_drawdown,-18.6718
DispositionEffect__RuleLLM,DispositionEffect,RuleLLM,peak_round,11
DispositionEffect__RuleLLM,DispositionEffect,RuleLLM,trough_round,171
DispositionEffect__Rag,DispositionEffect,Rag,max_drawdown,-32.0172
DispositionEffect__Rag,DispositionEffect,Rag,peak_round,1
DispositionEffect__Rag,DispositionEffect,Rag,trough_round,27
DotComBubble__Rule,DotComBubble,Rule,deviation_metrics,"{""final_deviation_pct"": 254.76803975158896, ""max_abs_deviation_pct"": 833.7796882696566, ""mean_abs_deviation_pct"": 399.97952400179213}"
DotComBubble__Rule,DotComBubble,Rule,price_metrics,"{""final"": 177.38401987579448, ""initial"": 49.99356750977454, ""max"": 466.8898441348283, ""mean"": 249.98969767599382, ""min"": 49.99356750977454, ""total_rounds"": 200}"
DotComBubble__Rule,DotComBubble,Rule,return_metrics,"{""annualized_volatility_pct"": 213.60763948940112, ""max_drawdown_pct"": -0.8931353275004658, ""volatility_pct"": 13.456016481726083}"
DotComBubble__Rule,DotComBubble,Rule,volume_metrics,"{""mean_volume"": 0.0, ""total_volume"": 0.0}"
DotComBubble__LLM,DotComBubble,LLM,deviation_metrics,"{""final_deviation_pct"": 50577.00101565964, ""max_abs_deviation_pct"": 6.561191227067393e+17, ""mean_abs_deviation_pct"": 4.018538355559797e+16}"
DotComBubble__LLM,DotComBubble,LLM,price_metrics,"{""final"": 25338.50050782982, ""initial"": 50.010306075882916, ""max"": 3.280595613533697e+17, ""mean"": 2.009269177779903e+16, ""min"": 0.01, ""total_rounds"": 200}"
DotComBubble__LLM,DotComBubble,LLM,return_metrics,"{""annualized_volatility_pct"": 3.682406969086355e+21, ""max_drawdown_pct"": -100.0, ""volatility_pct"": 2.31969834912705e+20}"
DotComBubble__LLM,DotComBubble,LLM,volume_metrics,"{""mean_volume"": 0.0, ""total_volume"": 0.0}"
DotComBubble__RuleLLM,DotComBubble,RuleLLM,deviation_metrics,"{""final_deviation_pct"": 128.47616238453634, ""max_abs_deviation_pct"": 776.5219068963811, ""mean_abs_deviation_pct"": 377.5734176106648}"
DotComBubble__RuleLLM,DotComBubble,RuleLLM,price_metrics,"{""final"": 114.23808119226817, ""initial"": 49.98611451252968, ""max"": 438.26095344819055, ""mean"": 238.7865699504577, ""min"": 49.98611451252968, ""total_rounds"": 200}"
DotComBubble__RuleLLM,DotComBubble,RuleLLM,return_metrics,"{""annualized_volatility_pct"": 187.51838362103004, ""max_drawdown_pct"": -5.3097169043986705, ""volatility_pct"": 11.812547840810787}"
DotComBubble__RuleLLM,DotComBubble,RuleLLM,volume_metrics,"{""mean_volume"": 0.0, ""total_volume"": 0.0}"
DotComBubble__Rag,DotComBubble,Rag,deviation_metrics,"{""final_deviation_pct"": 131.03388491227233, ""max_abs_deviation_pct"": 843.0732218975559, ""mean_abs_deviation_pct"": 382.5397390461003}"
DotComBubble__Rag,DotComBubble,Rag,price_metrics,"{""final"": 115.51694245613616, ""initial"": 49.98092444455629, ""max"": 471.53661094877793, ""mean"": 241.26967876749572, ""min"": 49.98092444455629, ""total_rounds"": 200}"
DotComBubble__Rag,DotComBubble,Rag,return_metrics,"{""annualized_volatility_pct"": 190.51533244435626, ""max_drawdown_pct"": -10.52528878881924, ""volatility_pct"": 12.001337871251474}"
DotComBubble__Rag,DotComBubble,Rag,volume_metrics,"{""mean_volume"": 0.0, ""total_volume"": 0.0}"
EchoChamber__Rule,EchoChamber,Rule,activity,"{""avg_depolarize_per_round"": 2.4, ""avg_polarize_per_round"": 0.03, ""depolarize_lag_rounds"": 23.0, ""depolarize_to_polarize_ratio"": 80.0, ""total_depolarize_events"": 480.0, ""total_polarize_events"": 6.0}"
EchoChamber__Rule,EchoChamber,Rule,cluster,"{""avg_separation"": 0.0059, ""final_separation"": 0.0, ""max_separation"": 0.114}"
EchoChamber__Rule,EchoChamber,Rule,opinion,"{""final_mean"": 0.0}"
EchoChamber__Rule,EchoChamber,Rule,polarization,"{""amplification_ratio"": 3.291, ""final"": 0.4586566880977234, ""initial"": 0.16228989655057915, ""peak"": 0.5340994625431142, ""peak_round"": 8, ""persistence_second_half"": 0.3262}"
EchoChamber__Rule,EchoChamber,Rule,total_rounds,200
EchoChamber__Rule,EchoChamber,Rule,validation,"{""criteria"": {""Echo Chamber State Recorded"": {""passed"": true, ""score"": 1.0, ""target"": ""positive number of recorded opinion rounds; 200 expected for full experiments"", ""value"": 200}}, ""interpretation"": ""=== ECHO CHAMBER SIMULATION VALIDATION: VALID ==="", ""is_valid"": true, ""score"": 1.0}"
EchoChamber__LLM,EchoChamber,LLM,activity,"{""avg_depolarize_per_round"": 4.96, ""avg_polarize_per_round"": 10.87, ""depolarize_lag_rounds"": 0.0, ""depolarize_to_polarize_ratio"": 0.4565, ""total_depolarize_events"": 992.0, ""total_polarize_events"": 2173.0}"
EchoChamber__LLM,EchoChamber,LLM,cluster,"{""avg_separation"": 0.5271, ""final_separation"": 0.55, ""max_separation"": 0.55}"
EchoChamber__LLM,EchoChamber,LLM,opinion,"{""final_mean"": 0.55}"
EchoChamber__LLM,EchoChamber,LLM,polarization,"{""amplification_ratio"": 6.8942, ""final"": 1.0, ""initial"": 0.14505027666930256, ""peak"": 1.0, ""peak_round"": 2, ""persistence_second_half"": 1.0}"
EchoChamber__LLM,EchoChamber,LLM,total_rounds,200
EchoChamber__LLM,EchoChamber,LLM,validation,"{""criteria"": {""Echo Chamber State Recorded"": {""passed"": true, ""score"": 1.0, ""target"": ""positive number of recorded opinion rounds; 200 expected for full experiments"", ""value"": 200}}, ""interpretation"": ""=== ECHO CHAMBER SIMULATION VALIDATION: VALID ==="", ""is_valid"": true, ""score"": 1.0}"
EchoChamber__RuleLLM,EchoChamber,RuleLLM,activity,"{""avg_depolarize_per_round"": 4.89, ""avg_polarize_per_round"": 5.97, ""depolarize_lag_rounds"": 0.0, ""depolarize_to_polarize_ratio"": 0.8191, ""total_depolarize_events"": 978.0, ""total_polarize_events"": 1194.0}"
EchoChamber__RuleLLM,EchoChamber,RuleLLM,cluster,"{""avg_separation"": 0.2935, ""final_separation"": 0.3, ""max_separation"": 0.3}"
EchoChamber__RuleLLM,EchoChamber,RuleLLM,opinion,"{""final_mean"": 0.3}"
EchoChamber__RuleLLM,EchoChamber,RuleLLM,polarization,"{""amplification_ratio"": 6.6121, ""final"": 1.0, ""initial"": 0.15123873023475543, ""peak"": 1.0, ""peak_round"": 3, ""persistence_second_half"": 1.0}"
EchoChamber__RuleLLM,EchoChamber,RuleLLM,total_rounds,200
