sample_id,scenario,mechanism,duration_seconds,started_at,ended_at,rounds,source_run,runner,config
GamblerFallacy__Rule,GamblerFallacy,Rule,40.011,2026-05-22T03:44:26,2026-05-22T03:45:06,configured_full,samples/GamblerFallacy/Rule,examples/GamblerFallacy/Rule/run_gamblerfallacy.py,samples/GamblerFallacy/Rule/config/simulation.yml
GamblerFallacy__LLM,GamblerFallacy,LLM,2100.797,2026-05-22T06:52:24,2026-05-22T07:27:25,configured_full,samples/GamblerFallacy/LLM,examples/GamblerFallacy/LLM/run_gamblerfallacy_llm.py,samples/GamblerFallacy/LLM/config/simulation.yml
GamblerFallacy__RuleLLM,GamblerFallacy,RuleLLM,3251.333,2026-05-22T06:52:27,2026-05-22T07:46:38,configured_full,samples/GamblerFallacy/RuleLLM,examples/GamblerFallacy/RuleLLM/run_gamblerfallacy_rulellm.py,samples/GamblerFallacy/RuleLLM/config/simulation.yml
GamblerFallacy__Rag,GamblerFallacy,Rag,4101.319,2026-05-22T07:42:31,2026-05-22T08:50:52,configured_full,samples/GamblerFallacy/Rag,examples/GamblerFallacy/Rag/run_gamblerfallacy_rag.py,samples/GamblerFallacy/Rag/config/simulation.yml
GameStopShortSqueeze__Rule,GameStopShortSqueeze,Rule,40.004,2026-05-22T03:45:06,2026-05-22T03:45:46,configured_full,samples/GameStopShortSqueeze/Rule,examples/GameStopShortSqueeze/Rule/run_gamestopshortsqueeze.py,samples/GameStopShortSqueeze/Rule/config/simulation.yml
GameStopShortSqueeze__LLM,GameStopShortSqueeze,LLM,7621.396,2026-05-22T07:27:25,2026-05-22T09:34:26,configured_full,samples/GameStopShortSqueeze/LLM,examples/GameStopShortSqueeze/LLM/run_gamestopshortsqueeze_llm.py,samples/GameStopShortSqueeze/LLM/config/simulation.yml
GameStopShortSqueeze__RuleLLM,GameStopShortSqueeze,RuleLLM,5140.839,2026-05-22T07:46:38,2026-05-22T09:12:19,configured_full,samples/GameStopShortSqueeze/RuleLLM,examples/GameStopShortSqueeze/RuleLLM/run_gamestopshortsqueeze_rulellm.py,samples/GameStopShortSqueeze/RuleLLM/config/simulation.yml
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,19871.623,2026-05-22T08:50:52,2026-05-22T14:22:04,configured_full,samples/GameStopShortSqueeze/Rag,examples/GameStopShortSqueeze/Rag/run_gamestopshortsqueeze_rag.py,samples/GameStopShortSqueeze/Rag/config/simulation.yml
HerdEffect__Rule,HerdEffect,Rule,60.004,2026-05-22T03:45:46,2026-05-22T03:46:46,configured_full,samples/HerdEffect/Rule,examples/HerdEffect/Rule/run_herd.py,samples/HerdEffect/Rule/config/simulation.yml
HerdEffect__LLM,HerdEffect,LLM,12380.974,2026-05-22T09:34:26,2026-05-22T13:00:47,configured_full,samples/HerdEffect/LLM,examples/HerdEffect/LLM/run_herd_llm.py,samples/HerdEffect/LLM/config/simulation.yml
HerdEffect__RuleLLM,HerdEffect,RuleLLM,23241.807,2026-05-22T09:12:19,2026-05-22T15:39:41,configured_full,samples/HerdEffect/RuleLLM,examples/HerdEffect/RuleLLM/run_herd_rulellm.py,samples/HerdEffect/RuleLLM/config/simulation.yml
HerdEffect__Rag,HerdEffect,Rag,14801.211,2026-05-22T14:22:04,2026-05-22T18:28:45,configured_full,samples/HerdEffect/Rag,examples/HerdEffect/Rag/run_herd_effect_ragllm.py,samples/HerdEffect/Rag/config/simulation.yml
HerdingInformation__Rule,HerdingInformation,Rule,40.007,2026-05-22T03:46:46,2026-05-22T03:47:26,configured_full,samples/HerdingInformation/Rule,examples/HerdingInformation/Rule/run_herdinginformation.py,samples/HerdingInformation/Rule/config/simulation.yml
HerdingInformation__LLM,HerdingInformation,LLM,5170.971,2026-05-22T13:00:47,2026-05-22T14:26:58,configured_full,samples/HerdingInformation/LLM,examples/HerdingInformation/LLM/run_herdinginformation_llm.py,samples/HerdingInformation/LLM/config/simulation.yml
HerdingInformation__RuleLLM,HerdingInformation,RuleLLM,3310.63,2026-05-22T15:39:41,2026-05-22T16:34:51,configured_full,samples/HerdingInformation/RuleLLM,examples/HerdingInformation/RuleLLM/run_herdinginformation_rulellm.py,samples/HerdingInformation/RuleLLM/config/simulation.yml
HerdingInformation__Rag,HerdingInformation,Rag,2870.567,2026-05-22T18:28:45,2026-05-22T19:16:36,configured_full,samples/HerdingInformation/Rag,examples/HerdingInformation/Rag/run_herdinginformation_rag.py,samples/HerdingInformation/Rag/config/simulation.yml
HindsightBias__Rule,HindsightBias,Rule,40.007,2026-05-22T03:47:26,2026-05-22T03:48:06,configured_full,samples/HindsightBias/Rule,examples/HindsightBias/Rule/run_hindsightbias.py,samples/HindsightBias/Rule/config/simulation.yml
HindsightBias__LLM,HindsightBias,LLM,4110.784,2026-05-22T14:26:58,2026-05-22T15:35:29,configured_full,samples/HindsightBias/LLM,examples/HindsightBias/LLM/run_hindsightbias_llm.py,samples/HindsightBias/LLM/config/simulation.yml
